ID,Epic,ViewFile,Title,Role,Goal,Benefit,Priority,Status,Dependencies,ReleaseTarget,AcceptanceCriteria,Notes
AUTH-LOGIN-BASE,AUTH,auth/login.blade.php,Basic login,Staff,log in,secure access,P1,Partial,AUTH,MVP,"Valid creds start session; invalid shows error; CSRF token present",
AUTH-LOGIN-FEEDBACK,AUTH,auth/login.blade.php,Inline validation,Staff,see field errors quickly,correct mistakes faster,P1,Todo,AUTH,MVP,"Empty/invalid fields show inline messages without losing input",
AUTH-LOGIN-LOCKOUT,AUTH,auth/login.blade.php,Lockout messaging,Staff,understand lockout time,avoid confusion,P2,Todo,AUTH;SEC,Next,"After threshold attempts lockout message & countdown displayed",
AUTH-LOGIN-LOADING,AUTH,auth/login.blade.php,Submit loading state,Staff,avoid double submit,prevent duplicate requests,P3,Todo,JS,Later,"Button disabled + spinner until response",
AUTH-LOGIN-MOBILE,AUTH,auth/login.blade.php,Responsive layout,Staff,use on small screen,mobile usability,P1,Partial,CSS,MVP,"No horizontal scroll <=375px width",
AUTH-LOGIN-A11Y,AUTH,auth/login.blade.php,Accessibility improvements,Staff,navigate with screen reader,inclusive use,P2,Todo,ACCESS,Next,"Labels/aria described; focus to first error",
AUTH-LOGIN-PWTOGGLE,AUTH,auth/login.blade.php,Password visibility toggle,Staff,see password while typing,reduce typos,P3,Todo,JS,Later,"Eye icon toggles type; no layout shift",
AUTH-LOGIN-REMEMBER,AUTH,auth/login.blade.php,Remember me,Staff,stay logged in,save time,P2,Todo,AUTH,Next,"Checkbox persists session beyond browser restart",
USER-MGMT-LIST,AUTH,auth/usermanagement.blade.php,List users,Admin,view users,manage access,P1,Todo,DATA;API,Next,"Table shows name,email,role,status",
USER-MGMT-CREATE,AUTH,auth/usermanagement.blade.php,Create user,Admin,add user,enroll staff quickly,P1,Todo,ROLE,Next,"Valid data saves; errors inline; success flash",
USER-MGMT-EDIT,AUTH,auth/usermanagement.blade.php,Edit user,Admin,update user details,keep info current,P1,Todo,ROLE,Next,"Changes persisted; audit captured",
USER-MGMT-DEACT,AUTH,auth/usermanagement.blade.php,Deactivate user,Admin,remove access,security,P2,Todo,ROLE,Next,"Inactive users cannot login; badge shown",
USER-MGMT-SEARCH,AUTH,auth/usermanagement.blade.php,Search users,Admin,find user fast,efficiency,P2,Todo,API,Next,"Keyword filters list live",
USER-MGMT-RESET,AUTH,auth/usermanagement.blade.php,Trigger password reset,Admin,assist user,restore access,P2,Todo,AUTH,Next,"Button sends reset email; toast shown",
USER-MGMT-AUDIT,AUTH,auth/usermanagement.blade.php,Show last login,Admin,monitor usage,security insight,P3,Todo,DATA,Later,"Timestamps displayed in table",
DASH-KPIS,DASH,dashboard/index.blade.php,Core KPI cards,Manager,see today's performance,quick decisions,P1,Todo,DATA;API,Next,"Cards show sales total & orders count",
DASH-TOPPROD,DASH,dashboard/index.blade.php,Top products widget,Manager,see best sellers,optimize stock,P2,Todo,DATA,Next,"List ranks 5 items by qty",
DASH-CHART-SALES,DASH,charts/,Sales trend chart,Manager,view trends,forecasting,P2,Todo,DATA,Next,"Line chart updates via date filter",
DASH-CHART-CATEGORIES,DASH,charts/,Category share chart,Manager,see category mix,product strategy,P3,Todo,DATA,Later,"Donut chart sums to 100%",
DASH-REALTIME,DASH,dashboard/index.blade.php,Realtime order feed,Manager,monitor activity,immediate awareness,P4,Todo,API,Later,"New orders appear <5s",
DASH-EMPTYSTATE,DASH,dashboard/index.blade.php,Empty state messaging,Manager,understand lack of data,clarity,P2,Todo,UX,Next,"Shows friendly placeholder when no records",
DASH-EXPORT,DASH,dashboard/index.blade.php,Export KPIs,Manager,share snapshot,reporting,P3,Todo,JS,Later,"Download matches visible values",
INV-CAT-LIST,INV,inventory/categories.blade.php,Category list,Admin,see categories,organize products,P1,Todo,DATA,MVP,"Table includes product count",
INV-CAT-CREATE,INV,inventory/categories.blade.php,Create category,Admin,add grouping,structure catalog,P1,Todo,DATA,MVP,"Unique name validation",
INV-CAT-EDIT,INV,inventory/categories.blade.php,Edit category,Admin,rename category,maintain accuracy,P2,Todo,DATA,Next,"Inline edit saves w/o full reload",
INV-CAT-DELETE,INV,inventory/categories.blade.php,Delete category,Admin,remove unused,reduce clutter,P2,Todo,DATA,Next,"Blocked if products exist",
INV-CAT-SEARCH,INV,inventory/categories.blade.php,Filter categories,Admin,find faster,efficiency,P3,Todo,JS,Later,"Live client-side filter",
INV-PROD-LIST,INV,inventory/products.blade.php,Product list,Admin,view products,manage catalog,P1,Todo,DATA,MVP,"Shows sizes summary & availability",
INV-PROD-CREATE,INV,inventory/products.blade.php,Create product,Admin,add product,sell new items,P1,Todo,DATA,MVP,"Required fields validated",
INV-PROD-EDIT,INV,inventory/products.blade.php,Edit product & sizes,Admin,update details,keep pricing current,P1,Todo,DATA,MVP,"Add/remove size rows persist",
INV-PROD-CUST,INV,inventory/products.blade.php,Assign customizations,Admin,configure options,expand offerings,P2,Todo,DATA,Next,"Selected customization IDs saved",
INV-PROD-STATUS,INV,inventory/products.blade.php,Toggle availability,Admin,hide/show product,control POS list,P1,Todo,DATA,MVP,"Inactive not selectable in POS",
INV-PROD-BULK,INV,inventory/products.blade.php,Bulk actions,Admin,change many states,speed,P3,Todo,JS,Later,"Multi-select apply active/inactive",
INV-PROD-IMG,INV,inventory/products.blade.php,Product image upload,Admin,add visual cue,improve UX,P3,Todo,STORAGE,Later,"Preview before save",
INV-STOCK-LIST,INV,inventory/stock.blade.php,Stock list,StockManager,see quantities,avoid outages,P1,Todo,DATA,Next,"Low items flagged",
INV-STOCK-ADJUST,INV,inventory/stock.blade.php,Add stock adjustment,StockManager,update inventory,accurate counts,P1,Todo,DATA,Next,"Reason & delta stored",
INV-STOCK-HISTORY,INV,inventory/stock.blade.php,Adjustment history,StockManager,trace changes,audit,P2,Todo,DATA,Next,"Filter by product/date",
INV-STOCK-SEARCH,INV,inventory/stock.blade.php,Search stock,StockManager,locate item fast,efficiency,P2,Todo,JS,Next,"Live filter reduces rows",
INV-STOCK-EXPORT,INV,inventory/stock.blade.php,Export stock,StockManager,analyze offline,reporting,P3,Todo,JS,Later,"CSV respects filters",
POS-UI-CATALOG,POS,orders/takeOrder.blade.php,Product catalog display,Cashier,add items quickly,speed checkout,P1,Partial,DATA,MVP,"Click adds item to cart",
POS-UI-SIZE,POS,orders/takeOrder.blade.php,Size selection pricing,Cashier,set correct price,accuracy,P1,Partial,DATA,MVP,"Changing size updates line total",
POS-UI-CUSTOM,POS,orders/takeOrder.blade.php,Customizations selection,Cashier,modify drinks,meet preferences,P1,Partial,DATA,MVP,"Selected adds cost to total",
POS-UI-CARTEDIT,POS,orders/takeOrder.blade.php,Edit cart items,Cashier,correct mistakes,reduce errors,P1,Partial,JS,MVP,"Qty adjust recalculates subtotal",
POS-UI-PAYMENT,POS,orders/takeOrder.blade.php,Payment mode & change,Cashier,collect payment,proper change,P1,Partial,JS,MVP,"Cash mode shows change field",
POS-UI-SUBMIT,POS,orders/takeOrder.blade.php,Submit order,Cashier,finalize sale,record transaction,P1,Todo,API;DATA,MVP,"Order persisted + cart cleared",
POS-UI-VALIDATE,POS,orders/takeOrder.blade.php,Order validation,Cashier,prevent invalid order,data integrity,P1,Todo,API,MVP,"Empty cart disabled submit",
POS-UI-LOADING,POS,orders/takeOrder.blade.php,Submit loading overlay,Cashier,avoid duplicate submits,reliability,P2,Todo,JS,Next,"Spinner overlays during request",
POS-UI-ERRORS,POS,orders/takeOrder.blade.php,Error toast,Cashier,see issues quickly,fast recovery,P2,Todo,JS,Next,"Backend message surfaced",
POS-UI-QUICKKEYS,POS,orders/takeOrder.blade.php,Keyboard shortcuts,Cashier,speed operation,efficiency,P3,Todo,JS,Later,"Documented keys function",
POS-UI-OFFLINE,POS,orders/takeOrder.blade.php,Offline detection,Cashier,avoid failed submits,prevent data loss,P3,Todo,JS,Later,"Banner when offline",
ORD-PENDING-LIST,ORD,orders/pendingOrder.blade.php,Pending orders list,Cashier,see active orders,manage workflow,P1,Todo,DATA,MVP,"Statuses visible",
ORD-PENDING-UPDATE,ORD,orders/pendingOrder.blade.php,Update order status,Cashier,progress orders,inform customers,P1,Todo,API,Next,"Status change persists",
ORD-PENDING-SORT,ORD,orders/pendingOrder.blade.php,Sort pending orders,Cashier,prioritize oldest,throughput,P2,Todo,JS,Next,"Toggle ascending/descending",
ORD-PENDING-AUTOREFRESH,ORD,orders/pendingOrder.blade.php,Auto refresh,Cashier,see updates timely,reduce manual refresh,P2,Todo,API,Next,"List updates every interval or via push",
ORD-HIST-LIST,ORD,orders/history.blade.php,Order history list,Manager,review past orders,audit,P1,Todo,DATA,MVP,"Paginated; recent first",
ORD-HIST-FILTERDATE,ORD,orders/history.blade.php,Date filter,Manager,analyze periods,insight,P1,Todo,DATA,MVP,"From/to limits applied",
ORD-HIST-DETAIL,ORD,orders/history.blade.php,Order detail view,Manager,see line items,understand composition,P2,Todo,API,Next,"Expandable row/modal shows items",
ORD-HIST-EXPORT,ORD,orders/history.blade.php,Export orders,Manager,offline analysis,reporting,P3,Todo,JS,Later,"CSV matches filters",
ORD-HIST-SEARCH,ORD,orders/history.blade.php,Search order ref,Manager,locate order quickly,time saving,P2,Todo,API,Next,"Partial match returns list",
SALES-REPORT-DAY,SALES,sales/report.blade.php,Daily report,Manager,view daily performance,decision support,P1,Todo,DATA,MVP,"Totals for selected day correct",
SALES-REPORT-RANGE,SALES,sales/report.blade.php,Range aggregation,Manager,analyze trends,planning,P1,Todo,DATA,MVP,"Range totals & averages computed",
SALES-REPORT-TOP,SALES,sales/report.blade.php,Top products section,Manager,identify best sellers,marketing focus,P2,Todo,DATA,Next,"Limit adjustable",
SALES-REPORT-CAT,SALES,sales/report.blade.php,Category breakdown,Manager,see category impact,stock planning,P2,Todo,DATA,Next,"Chart + table align",
SALES-REPORT-EXPORT,SALES,sales/report.blade.php,Export report,Manager,share data,communication,P2,Todo,JS,Next,"CSV respects filters",
SALES-REPORT-PDF,SALES,sales/report.blade.php,Printable PDF,Manager,archive/share offline,record keeping,P3,Todo,API,Later,"Styled PDF generated",
LAYOUT-NAV,LAYOUT,layouts/sidebar.blade.php,Sidebar navigation,User,navigate app,efficiency,P1,Partial,ROUTES,MVP,"Active link highlighted",
LAYOUT-ROLE-VIS,LAYOUT,layouts/sidebar.blade.php,Role-based menu,User,see relevant items,reduce clutter,P1,Todo,ROLE,MVP,"Unauthorized menu hidden",
LAYOUT-FOOTER,LAYOUT,layouts/footer.blade.php,Footer version info,User,know build version,debugging,P3,Todo,CI,Later,"Version string present",
LAYOUT-CSRF-META,LAYOUT,layouts/app.blade.php,CSRF meta tag,System,expose token,secure ajax,P1,Todo,SEC,MVP,"<meta name=csrf-token> present",
LAYOUT-FLASH,LAYOUT,layouts/app.blade.php,Global toast system,User,see feedback,clarity,P2,Todo,JS,Next,"Standard component across pages",
LAYOUT-RESPONSIVE,LAYOUT,layouts/app.blade.php,Responsive shell,User,use on tablet,mobile friendly,P1,Todo,CSS,MVP,"Sidebar collapses < md width",
LAYOUT-BREADCRUMB,LAYOUT,layouts/header.blade.php,Breadcrumbs,User,understand context,orientation,P3,Todo,UX,Later,"Shows hierarchical path",
THEME-PALETTE,THEME,layouts/customizer.blade.php,Theme color picker,User,adjust look,personalization,P3,Todo,CSS,Later,"Selection persists",
THEME-FONT,THEME,layouts/customizer.blade.php,Adjust base font size,User,increase readability,accessibility,P3,Todo,CSS,Later,"Scaling 90%-120% options",
THEME-RESET,THEME,layouts/customizer.blade.php,Reset theme,User,revert changes,recover defaults,P3,Todo,JS,Later,"Clears stored prefs",
ACCESS-COLOR,ACCESS,ALL,Color contrast compliance,User,read text easily,accessibility,P2,Todo,DESIGN,Next,"All key elements pass AA",
ACCESS-FOCUS,ACCESS,ALL,Visible focus states,KeyboardUser,navigate without mouse,usability,P2,Todo,CSS,Next,"Outline visible on tab",
PERF-MINIFY,PERF,ALL,Use built assets,System,improve load speed,performance,P1,Partial,Build,MVP,"Production uses versioned /build assets",
PERF-LAZY,PERF,ALL,Lazy load heavy components,System,defer non-critical load,faster initial render,P2,Todo,JS,Next,"Charts load after viewport",
SEC-CLICKJACK,SEC-UX,ALL,Frameguard indicator,System,prevent UI framing,security,P2,Todo,SEC,Next,"Header/meta applied",
UX-GLOBAL-HELP,UX-ENH,layouts/header.blade.php,Global help modal,User,find shortcuts,learn faster,P3,Todo,JS,Later,"Modal accessible via icon",
INTL-READY,ACCESS,ALL,Localization readiness,System,prepare for i18n,scalability,P3,Todo,CONFIG,Later,"Strings moved to lang files",
PERF-DEBOUNCE,PERF,ALL,Debounce searches,System,reduce load,efficiency,P2,Todo,JS,Next,"â‰¥300ms debounce applied",
PERF-DIFFRENDER,PERF,orders/takeOrder.blade.php,Diff cart rendering,System,avoid full rerenders,performance,P2,Todo,JS,Next,"Only changed rows updated",
PERF-CSS-CRIT,PERF,layouts/app.blade.php,Critical CSS inline,System,improve first paint,perceived speed,P3,Todo,Build,Later,"Above-the-fold styles in head",
PERF-ASSET-CACHE,PERF,layouts/app.blade.php,Asset cache busting,System,serve fresh builds,reliability,P1,Partial,Build,MVP,"Hashed filenames referenced"
